;title;rating;ratingLevel;release year;user rating score;user rating size
245;The Honorable Woman;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;89.0;82
246;Transporter: The Series;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;89.0;82
247;Gotham;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;85.0;80
248;American Odyssey;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
249;Aquarius;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;82
250;Hap and Leonard;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;57.0;80
251;Rosewood;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;81.0;80
252;Limitless;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;84.0;80
253;Travelers;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;86.0;80
254;The Doctor Blake Mysteries;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;57.0;80
255;I.T;NR;This movie has not been rated.;2016;77.0;82
256;Bordertown;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
257;The West Wing;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2005;79.0;80
258;Blue Bloods;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;80
259;Forensic Files;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;88.0;80
260;Rectify;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
261;American Crime;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
262;Madam Secretary;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;70.0;80
263;American Crime Story: The People v. O.J. Simpson;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;79.0;80
264;The Nightmare Before Christmas;PG;some scary images;1993;84.0;80
265;Scooby-Doo;PG;some rude humor, language and some scary action;2002;86.0;80
266;Chicken Little;G;General Audiences. Suitable for all ages.;2005;92.0;80
267;Teenage Mutant Ninja Turtles;PG;animated action violence, some scary cartoon images and mild language;2007;86.0;82
268;Star Wars: The Clone Wars;PG;sci-fi action violence throughout, brief language and momentary smoking;2008;57.0;80
269;The Smurfs and the Magic Flute;G;General Audiences. Suitable for all ages.;1976;70.0;82
270;We're Back! A Dinosaur's Story;G;General Audiences. Suitable for all ages.;1993;70.0;82
271;Thomas & Friends: Thomas & the Runaway Kite;TV-Y;Suitable for all ages.;2010;75.5;82
272;Dino Squad;TV-Y7;Suitable for children ages 7 and older;2008;74.5;82
273;Cars Toons: Mater's Tall Tales;TV-G;Suitable for all ages.;2010;74.0;80
274;LeapFrog: The Amazing Alphabet Amusement Park;TV-Y;Suitable for all ages.;2010;75.5;82
275;Star Wars: The Clone Wars;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;93.0;80
276;Phineas and Ferb;TV-G;Suitable for all ages.;2012;89.0;80
277;The Batman;TV-Y7;Suitable for children ages 7 and older;2007;77.0;80
278;Justice League;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2003;66.0;80
279;Justice League Unlimited;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2005;72.0;82
280;Mighty Morphin Power Rangers;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2010;73.0;80
281;Young Justice;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;71.0;80
282;The Super Mario Bros. Super Show!;TV-Y7;Suitable for children ages 7 and older;1989;74.5;82
283;Power Rangers Zeo;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;1996;72.0;82
284;Oscar's Oasis;TV-G;Suitable for all ages.;2011;74.0;82
285;Transformers Prime;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;82
286;The Adventures of Chuck & Friends;TV-Y;Suitable for all ages.;2011;75.5;82
287;Transformers: Rescue Bots;TV-Y7;Suitable for children ages 7 and older;2016;74.5;82
288;Thomas & Friends: King of the Railway;TV-G;Suitable for all ages.;2013;74.0;82
289;LEGO: Marvel Super Heroes: Maximum Overload;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;82
